change_type,source_file,source_row_idx,v6_row_idx,v7_row_idx,description
flag_added,final_sweep,,,46,sweep_cotenant_pair: v7_row_46 ↔ v7_row_62 @ 5m
flag_added,final_sweep,,,49,sweep_cotenant_pair: v7_row_49 ↔ v7_row_53 @ 0m
flag_added,final_sweep,,,49,sweep_cotenant_pair: v7_row_49 ↔ v7_row_54 @ 111m
flag_added,final_sweep,,,51,sweep_cotenant_pair: v7_row_51 ↔ v7_row_59 @ 147m
flag_added,final_sweep,,,51,sweep_cotenant_pair: v7_row_51 ↔ v7_row_132 @ 129m
flag_added,final_sweep,,,53,sweep_potential_dup: v7_row_53 ↔ v7_row_54 @ 111m
flag_added,final_sweep,,,54,sweep_potential_dup: v7_row_54 ↔ v7_row_55 @ 111m
flag_added,final_sweep,,,59,sweep_cotenant_pair: v7_row_59 ↔ v7_row_132 @ 48m
flag_added,final_sweep,,,69,sweep_cotenant_pair: v7_row_69 ↔ v7_row_103 @ 30m
flag_added,final_sweep,,,69,sweep_cotenant_pair: v7_row_69 ↔ v7_row_114 @ 30m
flag_added,final_sweep,,,91,sweep_cotenant_pair: v7_row_91 ↔ v7_row_130 @ 46m
flag_added,final_sweep,,,101,sweep_cotenant_pair: v7_row_101 ↔ v7_row_119 @ 0m
flag_added,final_sweep,,,102,sweep_cotenant_pair: v7_row_102 ↔ v7_row_118 @ 0m
flag_added,final_sweep,,,103,sweep_cotenant_pair: v7_row_103 ↔ v7_row_114 @ 0m
flag_added,final_sweep,,,104,sweep_potential_dup: v7_row_104 ↔ v7_row_105 @ 0m
flag_added,final_sweep,,,104,sweep_potential_dup: v7_row_104 ↔ v7_row_106 @ 0m
flag_added,final_sweep,,,105,sweep_potential_dup: v7_row_105 ↔ v7_row_106 @ 0m
flag_added,final_sweep,,,116,sweep_cotenant_pair: v7_row_116 ↔ v7_row_123 @ 0m
flag_added,final_sweep,,,127,sweep_cotenant_pair: v7_row_127 ↔ v7_row_128 @ 0m
