name,operator,operator_norm,lat,lon,v6_layer,confidence,promotion_action,promotion_note,source_category,n_sources,physical_facility,address,source,note,ADMIN,CONTINENT,ISO_A3,SUBREGION,_source_file,cluster_id,coord_confidence,facility_type,has_operator,in_both_sources,merge_distance_m,merge_matched_name,merge_status,name_normalized,operator_tier,osm_id,osm_type,provider,region_code,sources,status,wikidata_id,year
AirTrunk JHB2 (Johor),AirTrunk,AirTrunk,1.43,103.6,v5.1,0.4333,,"Logical cloud-region pin, not a physical facility. Not eligible for land-transformation analysis; keep for reference.",Trade Press,1,1.0,"CJJ2+22 Gelang Patah, Johor, Malaysia",,,Malaysia,Asia,MYS,South-Eastern Asia,,,manual_correction,physical_facility,True,False,,,,AirTrunk JHB2 (Johor),,,,,,Trade Press (NER extraction),Planned,,2025.0
Vantage Cyberjaya Campus 2,Vantage Data Centers,Vantage Data Centers,2.9041534,101.6516027,v5.1,0.94,,"Logical cloud-region pin, not a physical facility. Not eligible for land-transformation analysis; keep for reference.",Trade Press,1,1.0,"15, Jalan Cyber Point 4, Cyber 8, 63000 Cyberjaya, Selangor, Malaysia",,,Malaysia,Asia,MYS,South-Eastern Asia,,,geocoded,physical_facility,True,False,,,,Vantage Cyberjaya Campus 2,,,,,,Trade Press (NER extraction),Under Construction,,2024.0
Vantage / Yondr Sedenak (Johor),Vantage / Yondr,Vantage / Yondr,1.6981517,103.4085948,v5.1,0.94,,"Logical cloud-region pin, not a physical facility. Not eligible for land-transformation analysis; keep for reference.",Trade Press,6,1.0,"MCX5+7C Kayu Ara Pasong, Johor, Malaysia",,osm_way=1432337902@352m | osm_way=1432337903@439m | osm_way=1432337905@122m | osm_way=1432337910@421m | osm_way=1432337911@245m,Malaysia,Asia,MYS,South-Eastern Asia,,,geocoded,physical_facility,True,False,,,,Vantage / Yondr Sedenak (Johor),,,,,,Trade Press (NER extraction),Under Development,,2025.0
DayOne (Johor),DayOne,DayOne,1.4343363,103.5996679,v5.1,0.94,,"Logical cloud-region pin, not a physical facility. Not eligible for land-transformation analysis; keep for reference.",Trade Press,1,1.0,"11, Jln Teknologi Perintis 1/2, Kampung Baharu, 81550 Gelang Patah, Johor Darul Ta'zim, Malaysia",,,Malaysia,Asia,MYS,South-Eastern Asia,,,geocoded,physical_facility,True,False,,,,DayOne (Johor),,,,,,Trade Press (NER extraction),Unknown,,
EdgeConneX Cyberjaya,EdgeConneX,EdgeConneX,2.921318,101.6559349,v5.1,0.8067,,"Logical cloud-region pin, not a physical facility. Not eligible for land-transformation analysis; keep for reference.",Trade Press,1,1.0,"WMC4+G9 Cyberjaya, Selangor, Malaysia",,,Malaysia,Asia,MYS,South-Eastern Asia,,,geocoded,physical_facility,True,False,,,,EdgeConneX Cyberjaya,,,,,,Trade Press (NER extraction),Unknown,,
EdgeConneX Johor,EdgeConneX,EdgeConneX,1.4798575,103.7642576,v5.1,0.8067,,"Logical cloud-region pin, not a physical facility. Not eligible for land-transformation analysis; keep for reference.",Trade Press,1,1.0,"Chak number 483 jb tehsil shorkot district jhang, Taman Abad, 80300 Johor Bahru, Johor, Malaysia",,,Malaysia,Asia,MYS,South-Eastern Asia,,,geocoded,physical_facility,True,False,,,,EdgeConneX Johor,,,,,,Trade Press (NER extraction),Unknown,,
EdgeConneX Bukit Jalil,EdgeConneX,EdgeConneX,3.0586745,101.6917068,v5.1,0.3733,,"Logical cloud-region pin, not a physical facility. Not eligible for land-transformation analysis; keep for reference.",Trade Press,1,1.0,"Ppa1m, Bukit Jalil, 57000 Kuala Lumpur, Wilayah Persekutuan Kuala Lumpur, Malaysia",,,Malaysia,Asia,MYS,South-Eastern Asia,,,geocoded,physical_facility,True,False,,,,EdgeConneX Bukit Jalil,,,,,,Trade Press (NER extraction),Unknown,,
Princeton Digital Group JH1 (Johor),Princeton Digital Group,Princeton Digital Group,1.6923009,103.4145192,v5.1,0.94,,"Logical cloud-region pin, not a physical facility. Not eligible for land-transformation analysis; keep for reference.",Trade Press,3,1.0,"MCR7+WR Kayu Ara Pasong, Johor, Malaysia",,"osm_way=1432337899@239m || merged_from='Princeton Digital JH1 Campus (Sedenak)'@(1.6925127,103.4147133) src=Manual Curation [same-op coord-tight] [carries osm_way=1432337900@363m; osm_way=1432337901@262m]",Malaysia,Asia,MYS,South-Eastern Asia,,,geocoded,physical_facility,True,False,,,,Princeton Digital Group JH1 (Johor),,,,,,Trade Press (NER extraction),Unknown,,
K2 Strategic Sedenak (Johor),K2 Strategic,K2 Strategic,1.7,103.4,v5.1,0.4333,,"Logical cloud-region pin, not a physical facility. Not eligible for land-transformation analysis; keep for reference.",Trade Press,1,1.0,"P92X+2X Kayu Ara Pasong, Johor, Malaysia",,,Malaysia,Asia,MYS,South-Eastern Asia,,,manual_correction,physical_facility,True,False,,,,K2 Strategic Sedenak (Johor),,,,,,Trade Press (NER extraction),Operational,,2024.0
"Open DC PE2 (Bayan Lepas, Penang)",Open DC,Open DC,5.2966983,100.2894956,v5.1,0.3733,,"Logical cloud-region pin, not a physical facility. Not eligible for land-transformation analysis; keep for reference.",Trade Press,1,1.0,"Plot 18 & 19, Medan Bayan Lepas, Bayan Lepas Industrial Park, 11900 Bayan Lepas, Pulau Pinang, Malaysia",,,Malaysia,Asia,MYS,South-Eastern Asia,,,geocoded,physical_facility,True,False,,,,"Open DC PE2 (Bayan Lepas, Penang)",,,,,,Trade Press (NER extraction),Operational,,2025.0
"Empyrion Digital MY1 (Nusajaya, Johor)",Empyrion Digital,Empyrion Digital,1.4343363,103.5996679,v5.1,0.94,,"Logical cloud-region pin, not a physical facility. Not eligible for land-transformation analysis; keep for reference.",Trade Press,1,1.0,"11, Jln Teknologi Perintis 1/2, Kampung Baharu, 81550 Gelang Patah, Johor Darul Ta'zim, Malaysia",,,Malaysia,Asia,MYS,South-Eastern Asia,,,geocoded,physical_facility,True,False,,,,"Empyrion Digital MY1 (Nusajaya, Johor)",,,,,,Trade Press (NER extraction),Planned,,2025.0
Bytedance (Johor),Bytedance,Bytedance,1.9343998,103.3587288,v5.1,0.3733,,"Logical cloud-region pin, not a physical facility. Not eligible for land-transformation analysis; keep for reference.",Trade Press,1,1.0,"W9M5+QF Renggam, Johor, Malaysia",,,Malaysia,Asia,MYS,South-Eastern Asia,,,geocoded,physical_facility,True,False,,,,Bytedance (Johor),,,,,,Trade Press (NER extraction),Unknown,,
Google Elmina Business Park (Selangor),Google,Google,3.2266053,101.5221802,v5.1,0.8067,,"Logical cloud-region pin, not a physical facility. Not eligible for land-transformation analysis; keep for reference.",Trade Press,2,1.0,"6GGC+JV Sungai Buloh, Selangor, Malaysia",,osm_way=1448536198@445m,Malaysia,Asia,MYS,South-Eastern Asia,,,geocoded,physical_facility,True,False,,,,Google Elmina Business Park (Selangor),,,,,,Trade Press (NER extraction),Unknown,,
Equinix KL1 (Cyberjaya),Equinix,Equinix,2.90443,101.6509691,v5.1,0.94,,"Logical cloud-region pin, not a physical facility. Not eligible for land-transformation analysis; keep for reference.",Manual Curation,1,1.0,,Manual Curation (public sources),"900 cabinets, 2630 sqm; No 2 Jalan Cyber Point 4; opened 2024; Equinix press release",Malaysia,Asia,MYS,South-Eastern Asia,,,geocoded,physical_facility,True,False,,,,Equinix KL1 (Cyberjaya),,,,,,Manual Curation (public sources),Operational,,2024.0
"Equinix JH1 (Iskandar Puteri, Johor)",Equinix,Equinix,1.4327058,103.5981429,v5.1,0.94,,"Logical cloud-region pin, not a physical facility. Not eligible for land-transformation analysis; keep for reference.",Manual Curation,1,1.0,,Manual Curation (public sources),"500 cabinets, 1800 sqm; Nusajaya Tech Park NTP; $40M investment; opened 2024; Equinix blog",Malaysia,Asia,MYS,South-Eastern Asia,,,geocoded,physical_facility,True,False,,,,"Equinix JH1 (Iskandar Puteri, Johor)",,,,,,Manual Curation (public sources),Operational,,2024.0
GDS Nusajaya NTP1 (Johor),GDS / DayOne,GDS / DayOne,1.4343363,103.5996679,v5.1,0.94,,"Logical cloud-region pin, not a physical facility. Not eligible for land-transformation analysis; keep for reference.",Manual Curation,1,1.0,,Manual Curation (public sources),Phase 1 building; 69.5MW total across NTP1-3; Nusajaya Tech Park; launched 2023; GDS press release,Malaysia,Asia,MYS,South-Eastern Asia,,,geocoded,physical_facility,True,False,,,,GDS Nusajaya NTP1 (Johor),,,,,,Manual Curation (public sources),Operational,,2023.0
GDS Nusajaya NTP2 (Johor),GDS / DayOne,GDS / DayOne,1.4353363,103.5996679,v5.1,0.88,,"Logical cloud-region pin, not a physical facility. Not eligible for land-transformation analysis; keep for reference.",Manual Curation,1,1.0,,Manual Curation (public sources),Phase 1 building; part of 69.5MW NTP campus; Nusajaya Tech Park; campus offset +0.001 lat; GDS press release,Malaysia,Asia,MYS,South-Eastern Asia,,,geocoded_with_campus_offset,physical_facility,True,False,,,,GDS Nusajaya NTP2 (Johor),,,,,,Manual Curation (public sources),Operational,,
GDS Nusajaya NTP3 (Johor),GDS / DayOne,GDS / DayOne,1.4363363,103.5996679,v5.1,0.88,,"Logical cloud-region pin, not a physical facility. Not eligible for land-transformation analysis; keep for reference.",Manual Curation,1,1.0,,Manual Curation (public sources),Phase 1 building; part of 69.5MW NTP campus; Nusajaya Tech Park; campus offset +0.002 lat; GDS press release,Malaysia,Asia,MYS,South-Eastern Asia,,,geocoded_with_campus_offset,physical_facility,True,False,,,,GDS Nusajaya NTP3 (Johor),,,,,,Manual Curation (public sources),Operational,,
GDS Kempas Lama (Johor),GDS / DayOne,GDS / DayOne,1.543196,103.6965002,v5.1,0.3733,,"Logical cloud-region pin, not a physical facility. Not eligible for land-transformation analysis; keep for reference.",Manual Curation,1,1.0,,Manual Curation (public sources),"New campus; Kempas Lama, Johor; Baxtel",Malaysia,Asia,MYS,South-Eastern Asia,,,geocoded,physical_facility,True,False,,,,GDS Kempas Lama (Johor),,,,,,Manual Curation (public sources),Under Construction,,
STT Cyberjaya DC.2,STT GDC / Basis Bay,STT GDC / Basis Bay,2.921318,101.6559349,v5.1,0.8067,,"Logical cloud-region pin, not a physical facility. Not eligible for land-transformation analysis; keep for reference.",Manual Curation,1,1.0,,Manual Curation (public sources),JV with Basis Bay; ~20MW across 2 buildings; LEED Gold target; STT GDC press release Nov 2023,Malaysia,Asia,MYS,South-Eastern Asia,,,geocoded,physical_facility,True,False,,,,STT Cyberjaya DC.2,,,,,,Manual Curation (public sources),Under Construction,,2023.0
STT Johor 1 (Nusa Cemerlang),STT GDC,STT GDC,1.445292,103.6037419,v5.1,0.8067,,"Logical cloud-region pin, not a physical facility. Not eligible for land-transformation analysis; keep for reference.",Manual Curation,1,1.0,,Manual Curation (public sources),"16MW first building; 22 acres, 120MW total campus; Nusa Cemerlang Industrial Park; groundbreaking Feb 2025; DCD",Malaysia,Asia,MYS,South-Eastern Asia,,,geocoded,physical_facility,True,False,,,,STT Johor 1 (Nusa Cemerlang),,,,,,Manual Curation (public sources),Under Construction,,2025.0
VADS CBJ1 (Cyberjaya),VADS (TM subsidiary),VADS (TM subsidiary),2.9254198,101.6629305,v5.1,0.8067,,"Logical cloud-region pin, not a physical facility. Not eligible for land-transformation analysis; keep for reference.",Manual Curation,1,1.0,,Manual Curation (public sources),Lingkaran Usahawan 1 Timur; Tier 3; ISO 27001; datacentermap.com snippet,Malaysia,Asia,MYS,South-Eastern Asia,,,geocoded,physical_facility,True,False,,,,VADS CBJ1 (Cyberjaya),,,,,,Manual Curation (public sources),Operational,,
VADS CBJ2 (Cyberjaya),VADS (TM subsidiary),VADS (TM subsidiary),2.917888,101.6456942,v5.1,0.3733,,"Logical cloud-region pin, not a physical facility. Not eligible for land-transformation analysis; keep for reference.",Manual Curation,1,1.0,,Manual Curation (public sources),"Bangunan TM CBJ Unit 2, Jalan Lingkaran Fauna; datacentermap.com snippet",Malaysia,Asia,MYS,South-Eastern Asia,,,geocoded,physical_facility,True,False,,,,VADS CBJ2 (Cyberjaya),,,,,,Manual Curation (public sources),Operational,,
VADS CBJ5 (Cyberjaya),VADS (TM subsidiary),VADS (TM subsidiary),2.9129573,101.6557385,v5.1,0.3733,,"Logical cloud-region pin, not a physical facility. Not eligible for land-transformation analysis; keep for reference.",Manual Curation,1,1.0,,Manual Curation (public sources),"CSF Computer Exchange, 3552 Jalan Teknokrat 6, 3rd Floor; datacentermap.com snippet",Malaysia,Asia,MYS,South-Eastern Asia,,,geocoded,physical_facility,True,False,,,,VADS CBJ5 (Cyberjaya),,,,,,Manual Curation (public sources),Operational,,
VADS CBJ6 (Cyberjaya),VADS (TM subsidiary),VADS (TM subsidiary),2.9171543,101.6619044,v5.1,0.94,,"Logical cloud-region pin, not a physical facility. Not eligible for land-transformation analysis; keep for reference.",Manual Curation,1,1.0,,Manual Curation (public sources),"CX2 Computer Exchange, 7118 Jalan Impact, 4th Floor; datacentermap.com snippet",Malaysia,Asia,MYS,South-Eastern Asia,,,geocoded,physical_facility,True,False,,,,VADS CBJ6 (Cyberjaya),,,,,,Manual Curation (public sources),Operational,,
VADS CBJ8 (Cyberjaya),VADS (TM subsidiary),VADS (TM subsidiary),2.9045487,101.6517587,v5.1,0.94,,"Logical cloud-region pin, not a physical facility. Not eligible for land-transformation analysis; keep for reference.",Manual Curation,1,1.0,,Manual Curation (public sources),"MyTelehaus CJ1 Centre, No 1 Jalan Cyber Point 4, Level 3; datacentercatalog.com",Malaysia,Asia,MYS,South-Eastern Asia,,,geocoded,physical_facility,True,False,,,,VADS CBJ8 (Cyberjaya),,,,,,Manual Curation (public sources),Operational,,
Keppel DC Johor 1 (Kulai),Keppel Data Centres,Keppel Data Centres,1.6686,103.5224,v5.1,0.4333,,"Logical cloud-region pin, not a physical facility. Not eligible for land-transformation analysis; keep for reference.",Manual Curation,1,1.0,,Manual Curation (public sources),"BTS for Microsoft Azure; Kulai area; Keppel-controlled; coords from XLSX (1.6686, 103.5224); Dgtl Infra",Malaysia,Asia,MYS,South-Eastern Asia,,,manual_correction,physical_facility,True,False,,,,Keppel DC Johor 1 (Kulai),,,,,,Manual Curation (public sources),Operational,,
STACK JHB01 (Johor Bahru),STACK Infrastructure,STACK Infrastructure,1.4619442,103.6034602,v5.1,0.3733,,"Logical cloud-region pin, not a physical facility. Not eligible for land-transformation analysis; keep for reference.",Manual Curation,1,1.0,,Manual Curation (public sources),10.8 hectares; cloud and AI/ML workloads; Jalan Bioteknologi; datacentermap.com snippet,Malaysia,Asia,MYS,South-Eastern Asia,,,geocoded,physical_facility,True,False,,,,STACK JHB01 (Johor Bahru),,,,,,Manual Curation (public sources),Under Construction,,
Hitachi Sunway DC CX2 (Cyberjaya),Hitachi Sunway,Hitachi Sunway,2.9173009,101.6620648,v5.1,0.94,,"Logical cloud-region pin, not a physical facility. Not eligible for land-transformation analysis; keep for reference.",Manual Curation,1,1.0,,Manual Curation (public sources),"7118 CX2 Computer Exchange, Jalan Impact; includes former Jalan Teknologi 1 site; datacentermap.com snippet",Malaysia,Asia,MYS,South-Eastern Asia,,,geocoded,physical_facility,True,False,,,,Hitachi Sunway DC CX2 (Cyberjaya),,,,,,Manual Curation (public sources),Operational,,
Hitachi Sunway DC Century Square (Cyberjaya),Hitachi Sunway,Hitachi Sunway,2.9250521,101.661399,v5.1,0.8067,,"Logical cloud-region pin, not a physical facility. Not eligible for land-transformation analysis; keep for reference.",Manual Curation,1,1.0,,Manual Curation (public sources),"Block 2310, Jalan Usahawan, Century Square; datacentermap.com snippet",Malaysia,Asia,MYS,South-Eastern Asia,,,geocoded,physical_facility,True,False,,,,Hitachi Sunway DC Century Square (Cyberjaya),,,,,,Manual Curation (public sources),Operational,,
NEXTDC KL1 (Kuala Lumpur),NEXTDC,NEXTDC,3.1319197,101.6840589,v5.1,0.3733,,"Logical cloud-region pin, not a physical facility. Not eligible for land-transformation analysis; keep for reference.",Manual Curation,1,1.0,,Manual Curation (public sources),65MW colocation; announced; GlobeNewswire / Arizton report,Malaysia,Asia,MYS,South-Eastern Asia,,,geocoded,physical_facility,True,False,,,,NEXTDC KL1 (Kuala Lumpur),,,,,,Manual Curation (public sources),Planned,,
Microsoft Kulai (Johor),Microsoft,Microsoft,1.6205686,103.5215847,v5.1,0.94,,"Logical cloud-region pin, not a physical facility. Not eligible for land-transformation analysis; keep for reference.",Manual Curation,1,1.0,,Manual Curation (public sources),"Part of Azure Malaysia region; Kulai, Johor; XLSX reference",Malaysia,Asia,MYS,South-Eastern Asia,,,geocoded,physical_facility,True,False,,,,Microsoft Kulai (Johor),,,,,,Manual Curation (public sources),Under Construction,,
Microsoft Nusa Cemerlang (Johor),Microsoft,Microsoft,1.445292,103.6037419,v5.1,0.8067,,"Logical cloud-region pin, not a physical facility. Not eligible for land-transformation analysis; keep for reference.",Manual Curation,1,1.0,,Manual Curation (public sources),"Part of Azure Malaysia region; Nusa Cemerlang, Iskandar Puteri; XLSX reference",Malaysia,Asia,MYS,South-Eastern Asia,,,geocoded,physical_facility,True,False,,,,Microsoft Nusa Cemerlang (Johor),,,,,,Manual Curation (public sources),Under Construction,,
Vantage KUL1 Campus (Cyberjaya),Vantage Data Centers,Vantage Data Centers,2.9057,101.6511358,v5.1,0.94,,"Logical cloud-region pin, not a physical facility. Not eligible for land-transformation analysis; keep for reference.",Manual Curation,1,1.0,,Manual Curation (public sources),31MW; 4 multi-story buildings; Persiaran APEC; WUE near zero; Vantage website,Malaysia,Asia,MYS,South-Eastern Asia,,,geocoded,physical_facility,True,False,,,,Vantage KUL1 Campus (Cyberjaya),,,,,,Manual Curation (public sources),Operational,,
Vantage KUL2 Campus (Cyberjaya),Vantage Data Centers,Vantage Data Centers,2.9016945,101.6506784,v5.1,0.8067,,"Logical cloud-region pin, not a physical facility. Not eligible for land-transformation analysis; keep for reference.",Manual Curation,1,1.0,,Manual Curation (public sources),436MW planned; 52 acres; adjacent to KUL1; 10 structures; Vantage website,Malaysia,Asia,MYS,South-Eastern Asia,,,geocoded,physical_facility,True,False,,,,Vantage KUL2 Campus (Cyberjaya),,,,,,Manual Curation (public sources),Under Construction,,
