name,operator,lat,lon,sources,osm_id,wikidata_id,provider,region_code,facility_type,n_sources,ADMIN,ISO_A3,CONTINENT,SUBREGION,name_normalized,has_operator,in_both_sources,source_category,operator_norm,status,year,coord_confidence,cluster_id,address,source,note,osm_type,physical_facility,v6_layer,merge_status,merge_matched_name,merge_distance_m,confidence,operator_tier,_source_file
Area Group Campus (Kedah),Area Group,6.5058846,100.4250382,Trade Press (NER extraction),,,,,physical_facility,1,Malaysia,MYS,Asia,South-Eastern Asia,Area Group Campus (Kedah),True,False,Trade Press,Area Group,Under Construction,2024.0,geocoded,,"GC4G+92 Bukit Kayu Hitam, Kedah, Malaysia",,,,True,v5.1,,,,,,
AirTrunk JHB1 (Johor),AirTrunk,1.4798575,103.7642576,Trade Press (NER extraction),,,,,physical_facility,1,Malaysia,MYS,Asia,South-Eastern Asia,AirTrunk JHB1 (Johor),True,False,Trade Press,AirTrunk,Operational,2024.0,geocoded,,"Chak number 483 jb tehsil shorkot district jhang, Taman Abad, 80300 Johor Bahru, Johor, Malaysia",,,,True,v5.1,,,,,,
AirTrunk JHB2 (Johor),AirTrunk,1.43,103.6,Trade Press (NER extraction),,,,,physical_facility,1,Malaysia,MYS,Asia,South-Eastern Asia,AirTrunk JHB2 (Johor),True,False,Trade Press,AirTrunk,Planned,2025.0,manual_correction,,"CJJ2+22 Gelang Patah, Johor, Malaysia",,,,True,v5.1,,,,,,
Vantage Cyberjaya Campus 2,Vantage Data Centers,2.9041534,101.6516027,Trade Press (NER extraction),,,,,physical_facility,1,Malaysia,MYS,Asia,South-Eastern Asia,Vantage Cyberjaya Campus 2,True,False,Trade Press,Vantage Data Centers,Under Construction,2024.0,geocoded,,"15, Jalan Cyber Point 4, Cyber 8, 63000 Cyberjaya, Selangor, Malaysia",,,,True,v5.1,,,,,,
Vantage / Yondr Sedenak (Johor),Vantage / Yondr,1.6981517,103.4085948,Trade Press (NER extraction),,,,,physical_facility,6,Malaysia,MYS,Asia,South-Eastern Asia,Vantage / Yondr Sedenak (Johor),True,False,Trade Press,Vantage / Yondr,Under Development,2025.0,geocoded,,"MCX5+7C Kayu Ara Pasong, Johor, Malaysia",,osm_way=1432337902@352m | osm_way=1432337903@439m | osm_way=1432337905@122m | osm_way=1432337910@421m | osm_way=1432337911@245m,,True,v5.1,,,,,,
DayOne (Johor),DayOne,1.4343363,103.5996679,Trade Press (NER extraction),,,,,physical_facility,1,Malaysia,MYS,Asia,South-Eastern Asia,DayOne (Johor),True,False,Trade Press,DayOne,Unknown,,geocoded,,"11, Jln Teknologi Perintis 1/2, Kampung Baharu, 81550 Gelang Patah, Johor Darul Ta'zim, Malaysia",,,,True,v5.1,,,,,,
EdgeConneX Cyberjaya,EdgeConneX,2.921318,101.6559349,Trade Press (NER extraction),,,,,physical_facility,1,Malaysia,MYS,Asia,South-Eastern Asia,EdgeConneX Cyberjaya,True,False,Trade Press,EdgeConneX,Unknown,,geocoded,,"WMC4+G9 Cyberjaya, Selangor, Malaysia",,,,True,v5.1,,,,,,
EdgeConneX Johor,EdgeConneX,1.4798575,103.7642576,Trade Press (NER extraction),,,,,physical_facility,1,Malaysia,MYS,Asia,South-Eastern Asia,EdgeConneX Johor,True,False,Trade Press,EdgeConneX,Unknown,,geocoded,,"Chak number 483 jb tehsil shorkot district jhang, Taman Abad, 80300 Johor Bahru, Johor, Malaysia",,,,True,v5.1,,,,,,
EdgeConneX Bukit Jalil,EdgeConneX,3.0586745,101.6917068,Trade Press (NER extraction),,,,,physical_facility,1,Malaysia,MYS,Asia,South-Eastern Asia,EdgeConneX Bukit Jalil,True,False,Trade Press,EdgeConneX,Unknown,,geocoded,,"Ppa1m, Bukit Jalil, 57000 Kuala Lumpur, Wilayah Persekutuan Kuala Lumpur, Malaysia",,,,True,v5.1,,,,,,
Princeton Digital Group JH1 (Johor),Princeton Digital Group,1.6923009,103.4145192,Trade Press (NER extraction),,,,,physical_facility,3,Malaysia,MYS,Asia,South-Eastern Asia,Princeton Digital Group JH1 (Johor),True,False,Trade Press,Princeton Digital Group,Unknown,,geocoded,,"MCR7+WR Kayu Ara Pasong, Johor, Malaysia",,"osm_way=1432337899@239m || merged_from='Princeton Digital JH1 Campus (Sedenak)'@(1.6925127,103.4147133) src=Manual Curation [same-op coord-tight] [carries osm_way=1432337900@363m; osm_way=1432337901@262m]",,True,v5.1,,,,,,
K2 Strategic Sedenak (Johor),K2 Strategic,1.7,103.4,Trade Press (NER extraction),,,,,physical_facility,1,Malaysia,MYS,Asia,South-Eastern Asia,K2 Strategic Sedenak (Johor),True,False,Trade Press,K2 Strategic,Operational,2024.0,manual_correction,,"P92X+2X Kayu Ara Pasong, Johor, Malaysia",,,,True,v5.1,,,,,,
"Open DC PE2 (Bayan Lepas, Penang)",Open DC,5.2966983,100.2894956,Trade Press (NER extraction),,,,,physical_facility,1,Malaysia,MYS,Asia,South-Eastern Asia,"Open DC PE2 (Bayan Lepas, Penang)",True,False,Trade Press,Open DC,Operational,2025.0,geocoded,,"Plot 18 & 19, Medan Bayan Lepas, Bayan Lepas Industrial Park, 11900 Bayan Lepas, Pulau Pinang, Malaysia",,,,True,v5.1,,,,,,
"Empyrion Digital MY1 (Nusajaya, Johor)",Empyrion Digital,1.4343363,103.5996679,Trade Press (NER extraction),,,,,physical_facility,1,Malaysia,MYS,Asia,South-Eastern Asia,"Empyrion Digital MY1 (Nusajaya, Johor)",True,False,Trade Press,Empyrion Digital,Planned,2025.0,geocoded,,"11, Jln Teknologi Perintis 1/2, Kampung Baharu, 81550 Gelang Patah, Johor Darul Ta'zim, Malaysia",,,,True,v5.1,,,,,,
Bytedance (Johor),Bytedance,1.9343998,103.3587288,Trade Press (NER extraction),,,,,physical_facility,1,Malaysia,MYS,Asia,South-Eastern Asia,Bytedance (Johor),True,False,Trade Press,Bytedance,Unknown,,geocoded,,"W9M5+QF Renggam, Johor, Malaysia",,,,True,v5.1,,,,,,
Google Elmina Business Park (Selangor),Google,3.2266053,101.5221802,Trade Press (NER extraction),,,,,physical_facility,2,Malaysia,MYS,Asia,South-Eastern Asia,Google Elmina Business Park (Selangor),True,False,Trade Press,Google,Unknown,,geocoded,,"6GGC+JV Sungai Buloh, Selangor, Malaysia",,osm_way=1448536198@445m,,True,v5.1,,,,,,
Equinix KL1 (Cyberjaya),Equinix,2.90443,101.6509691,Manual Curation (public sources),,,,,physical_facility,1,Malaysia,MYS,Asia,South-Eastern Asia,Equinix KL1 (Cyberjaya),True,False,Manual Curation,Equinix,Operational,2024.0,geocoded,,,Manual Curation (public sources),"900 cabinets, 2630 sqm; No 2 Jalan Cyber Point 4; opened 2024; Equinix press release",,True,v5.1,,,,,,
"Equinix JH1 (Iskandar Puteri, Johor)",Equinix,1.4327058,103.5981429,Manual Curation (public sources),,,,,physical_facility,1,Malaysia,MYS,Asia,South-Eastern Asia,"Equinix JH1 (Iskandar Puteri, Johor)",True,False,Manual Curation,Equinix,Operational,2024.0,geocoded,,,Manual Curation (public sources),"500 cabinets, 1800 sqm; Nusajaya Tech Park NTP; $40M investment; opened 2024; Equinix blog",,True,v5.1,,,,,,
GDS Nusajaya NTP1 (Johor),GDS / DayOne,1.4343363,103.5996679,Manual Curation (public sources),,,,,physical_facility,1,Malaysia,MYS,Asia,South-Eastern Asia,GDS Nusajaya NTP1 (Johor),True,False,Manual Curation,GDS / DayOne,Operational,2023.0,geocoded,,,Manual Curation (public sources),Phase 1 building; 69.5MW total across NTP1-3; Nusajaya Tech Park; launched 2023; GDS press release,,True,v5.1,,,,,,
GDS Nusajaya NTP2 (Johor),GDS / DayOne,1.4353363,103.5996679,Manual Curation (public sources),,,,,physical_facility,1,Malaysia,MYS,Asia,South-Eastern Asia,GDS Nusajaya NTP2 (Johor),True,False,Manual Curation,GDS / DayOne,Operational,,geocoded_with_campus_offset,,,Manual Curation (public sources),Phase 1 building; part of 69.5MW NTP campus; Nusajaya Tech Park; campus offset +0.001 lat; GDS press release,,True,v5.1,,,,,,
GDS Nusajaya NTP3 (Johor),GDS / DayOne,1.4363363,103.5996679,Manual Curation (public sources),,,,,physical_facility,1,Malaysia,MYS,Asia,South-Eastern Asia,GDS Nusajaya NTP3 (Johor),True,False,Manual Curation,GDS / DayOne,Operational,,geocoded_with_campus_offset,,,Manual Curation (public sources),Phase 1 building; part of 69.5MW NTP campus; Nusajaya Tech Park; campus offset +0.002 lat; GDS press release,,True,v5.1,,,,,,
GDS Kempas Lama (Johor),GDS / DayOne,1.543196,103.6965002,Manual Curation (public sources),,,,,physical_facility,1,Malaysia,MYS,Asia,South-Eastern Asia,GDS Kempas Lama (Johor),True,False,Manual Curation,GDS / DayOne,Under Construction,,geocoded,,,Manual Curation (public sources),"New campus; Kempas Lama, Johor; Baxtel",,True,v5.1,,,,,,
STT Cyberjaya DC.2,STT GDC / Basis Bay,2.921318,101.6559349,Manual Curation (public sources),,,,,physical_facility,1,Malaysia,MYS,Asia,South-Eastern Asia,STT Cyberjaya DC.2,True,False,Manual Curation,STT GDC / Basis Bay,Under Construction,2023.0,geocoded,,,Manual Curation (public sources),JV with Basis Bay; ~20MW across 2 buildings; LEED Gold target; STT GDC press release Nov 2023,,True,v5.1,,,,,,
STT Johor 1 (Nusa Cemerlang),STT GDC,1.445292,103.6037419,Manual Curation (public sources),,,,,physical_facility,1,Malaysia,MYS,Asia,South-Eastern Asia,STT Johor 1 (Nusa Cemerlang),True,False,Manual Curation,STT GDC,Under Construction,2025.0,geocoded,,,Manual Curation (public sources),"16MW first building; 22 acres, 120MW total campus; Nusa Cemerlang Industrial Park; groundbreaking Feb 2025; DCD",,True,v5.1,,,,,,
VADS CBJ1 (Cyberjaya),VADS (TM subsidiary),2.9254198,101.6629305,Manual Curation (public sources),,,,,physical_facility,1,Malaysia,MYS,Asia,South-Eastern Asia,VADS CBJ1 (Cyberjaya),True,False,Manual Curation,VADS (TM subsidiary),Operational,,geocoded,,,Manual Curation (public sources),Lingkaran Usahawan 1 Timur; Tier 3; ISO 27001; datacentermap.com snippet,,True,v5.1,,,,,,
VADS CBJ2 (Cyberjaya),VADS (TM subsidiary),2.917888,101.6456942,Manual Curation (public sources),,,,,physical_facility,1,Malaysia,MYS,Asia,South-Eastern Asia,VADS CBJ2 (Cyberjaya),True,False,Manual Curation,VADS (TM subsidiary),Operational,,geocoded,,,Manual Curation (public sources),"Bangunan TM CBJ Unit 2, Jalan Lingkaran Fauna; datacentermap.com snippet",,True,v5.1,,,,,,
VADS CBJ5 (Cyberjaya),VADS (TM subsidiary),2.9129573,101.6557385,Manual Curation (public sources),,,,,physical_facility,1,Malaysia,MYS,Asia,South-Eastern Asia,VADS CBJ5 (Cyberjaya),True,False,Manual Curation,VADS (TM subsidiary),Operational,,geocoded,,,Manual Curation (public sources),"CSF Computer Exchange, 3552 Jalan Teknokrat 6, 3rd Floor; datacentermap.com snippet",,True,v5.1,,,,,,
VADS CBJ6 (Cyberjaya),VADS (TM subsidiary),2.9171543,101.6619044,Manual Curation (public sources),,,,,physical_facility,1,Malaysia,MYS,Asia,South-Eastern Asia,VADS CBJ6 (Cyberjaya),True,False,Manual Curation,VADS (TM subsidiary),Operational,,geocoded,,,Manual Curation (public sources),"CX2 Computer Exchange, 7118 Jalan Impact, 4th Floor; datacentermap.com snippet",,True,v5.1,,,,,,
VADS CBJ8 (Cyberjaya),VADS (TM subsidiary),2.9045487,101.6517587,Manual Curation (public sources),,,,,physical_facility,1,Malaysia,MYS,Asia,South-Eastern Asia,VADS CBJ8 (Cyberjaya),True,False,Manual Curation,VADS (TM subsidiary),Operational,,geocoded,,,Manual Curation (public sources),"MyTelehaus CJ1 Centre, No 1 Jalan Cyber Point 4, Level 3; datacentercatalog.com",,True,v5.1,,,,,,
Keppel DC Johor 1 (Kulai),Keppel Data Centres,1.6686,103.5224,Manual Curation (public sources),,,,,physical_facility,1,Malaysia,MYS,Asia,South-Eastern Asia,Keppel DC Johor 1 (Kulai),True,False,Manual Curation,Keppel Data Centres,Operational,,manual_correction,,,Manual Curation (public sources),"BTS for Microsoft Azure; Kulai area; Keppel-controlled; coords from XLSX (1.6686, 103.5224); Dgtl Infra",,True,v5.1,,,,,,
STACK JHB01 (Johor Bahru),STACK Infrastructure,1.4619442,103.6034602,Manual Curation (public sources),,,,,physical_facility,1,Malaysia,MYS,Asia,South-Eastern Asia,STACK JHB01 (Johor Bahru),True,False,Manual Curation,STACK Infrastructure,Under Construction,,geocoded,,,Manual Curation (public sources),10.8 hectares; cloud and AI/ML workloads; Jalan Bioteknologi; datacentermap.com snippet,,True,v5.1,,,,,,
Hitachi Sunway DC CX2 (Cyberjaya),Hitachi Sunway,2.9173009,101.6620648,Manual Curation (public sources),,,,,physical_facility,1,Malaysia,MYS,Asia,South-Eastern Asia,Hitachi Sunway DC CX2 (Cyberjaya),True,False,Manual Curation,Hitachi Sunway,Operational,,geocoded,,,Manual Curation (public sources),"7118 CX2 Computer Exchange, Jalan Impact; includes former Jalan Teknologi 1 site; datacentermap.com snippet",,True,v5.1,,,,,,
Hitachi Sunway DC Century Square (Cyberjaya),Hitachi Sunway,2.9250521,101.661399,Manual Curation (public sources),,,,,physical_facility,1,Malaysia,MYS,Asia,South-Eastern Asia,Hitachi Sunway DC Century Square (Cyberjaya),True,False,Manual Curation,Hitachi Sunway,Operational,,geocoded,,,Manual Curation (public sources),"Block 2310, Jalan Usahawan, Century Square; datacentermap.com snippet",,True,v5.1,,,,,,
NEXTDC KL1 (Kuala Lumpur),NEXTDC,3.1319197,101.6840589,Manual Curation (public sources),,,,,physical_facility,1,Malaysia,MYS,Asia,South-Eastern Asia,NEXTDC KL1 (Kuala Lumpur),True,False,Manual Curation,NEXTDC,Planned,,geocoded,,,Manual Curation (public sources),65MW colocation; announced; GlobeNewswire / Arizton report,,True,v5.1,,,,,,
Microsoft Kulai (Johor),Microsoft,1.6205686,103.5215847,Manual Curation (public sources),,,,,physical_facility,1,Malaysia,MYS,Asia,South-Eastern Asia,Microsoft Kulai (Johor),True,False,Manual Curation,Microsoft,Under Construction,,geocoded,,,Manual Curation (public sources),"Part of Azure Malaysia region; Kulai, Johor; XLSX reference",,True,v5.1,,,,,,
Microsoft Nusa Cemerlang (Johor),Microsoft,1.445292,103.6037419,Manual Curation (public sources),,,,,physical_facility,1,Malaysia,MYS,Asia,South-Eastern Asia,Microsoft Nusa Cemerlang (Johor),True,False,Manual Curation,Microsoft,Under Construction,,geocoded,,,Manual Curation (public sources),"Part of Azure Malaysia region; Nusa Cemerlang, Iskandar Puteri; XLSX reference",,True,v5.1,,,,,,
Vantage KUL1 Campus (Cyberjaya),Vantage Data Centers,2.9057,101.6511358,Manual Curation (public sources),,,,,physical_facility,1,Malaysia,MYS,Asia,South-Eastern Asia,Vantage KUL1 Campus (Cyberjaya),True,False,Manual Curation,Vantage Data Centers,Operational,,geocoded,,,Manual Curation (public sources),31MW; 4 multi-story buildings; Persiaran APEC; WUE near zero; Vantage website,,True,v5.1,,,,,,
Vantage KUL2 Campus (Cyberjaya),Vantage Data Centers,2.9016945,101.6506784,Manual Curation (public sources),,,,,physical_facility,1,Malaysia,MYS,Asia,South-Eastern Asia,Vantage KUL2 Campus (Cyberjaya),True,False,Manual Curation,Vantage Data Centers,Under Construction,,geocoded,,,Manual Curation (public sources),436MW planned; 52 acres; adjacent to KUL1; 10 structures; Vantage website,,True,v5.1,,,,,,
YTL Johor Data Center 1 (Kulai),YTL Data Center Holdings,1.6205686,103.5215847,Manual Curation (public sources),,,,,physical_facility,1,Malaysia,MYS,Asia,South-Eastern Asia,YTL Johor Data Center 1 (Kulai),True,False,Manual Curation,YTL Data Center Holdings,Operational,,geocoded,,,Manual Curation (public sources),Part of 275-acre YTL Green Data Center Park; Kulai; FULCRUM analysis,,True,v5.1,,,,,,
YTL Johor Data Center 2 (Kulai),YTL Data Center Holdings,1.6215686,103.5215847,Manual Curation (public sources),,,,,physical_facility,1,Malaysia,MYS,Asia,South-Eastern Asia,YTL Johor Data Center 2 (Kulai),True,False,Manual Curation,YTL Data Center Holdings,Operational,,geocoded_with_campus_offset,,,Manual Curation (public sources),Part of 275-acre YTL Green Data Center Park; Kulai; campus offset +0.001 lat; FULCRUM analysis,,True,v5.1,,,,,,
YTL Johor Data Center 3 (Kulai),YTL Data Center Holdings,1.6225686,103.5215847,Manual Curation (public sources),,,,,physical_facility,1,Malaysia,MYS,Asia,South-Eastern Asia,YTL Johor Data Center 3 (Kulai),True,False,Manual Curation,YTL Data Center Holdings,Operational,,geocoded_with_campus_offset,,,Manual Curation (public sources),Part of 275-acre YTL Green Data Center Park; Kulai; campus offset +0.002 lat; FULCRUM analysis,,True,v5.1,,,,,,
Basis Bay Glenmarie (Shah Alam),Basis Bay,3.09065,101.5791543,Manual Curation (public sources),,,,,physical_facility,1,Malaysia,MYS,Asia,South-Eastern Asia,Basis Bay Glenmarie (Shah Alam),True,False,Manual Curation,Basis Bay,Operational,,geocoded,,,Manual Curation (public sources),"Glenmarie, Shah Alam; one of Malaysia's first carrier-neutral DCs; 27+ years; STT GDC JV announcement",,True,v5.1,,,,,,
Basis Bay Cyberjaya,Basis Bay,2.9058489,101.6527141,Manual Curation (public sources),,,,,physical_facility,1,Malaysia,MYS,Asia,South-Eastern Asia,Basis Bay Cyberjaya,True,False,Manual Curation,Basis Bay,Operational,,geocoded,,,Manual Curation (public sources),Cyberjaya facility; Basis Bay; STT GDC JV announcement,,True,v5.1,,,,,,
"Shinsei Malaysia 1 (Labu, Negeri Sembilan)",Shinsei / Regal Orion,2.7386579,101.8207566,Manual Curation (public sources),,,,,physical_facility,1,Malaysia,MYS,Asia,South-Eastern Asia,"Shinsei Malaysia 1 (Labu, Negeri Sembilan)",True,False,Manual Curation,Shinsei / Regal Orion,Operational,,geocoded,,,Manual Curation (public sources),"Labu, Negeri Sembilan; also known as Regal Orion; single facility; datacentermap.com",,True,v5.1,,,,,,
Open DC CJ1 (Cyberjaya),Open DC,2.9045353,101.6517597,Manual Curation (public sources),,,,,physical_facility,1,Malaysia,MYS,Asia,South-Eastern Asia,Open DC CJ1 (Cyberjaya),True,False,Manual Curation,Open DC,Operational,,geocoded,,,Manual Curation (public sources),"Jalan Cyber Point 4, Cyber 8; Cyberjaya; datacentermap.com",,True,v5.1,,,,,,
Open DC JB1 (Johor Bahru),Open DC,1.4629805,103.7719136,Manual Curation (public sources),,,,,physical_facility,1,Malaysia,MYS,Asia,South-Eastern Asia,Open DC JB1 (Johor Bahru),True,False,Manual Curation,Open DC,Operational,,geocoded,,,Manual Curation (public sources),"Menara MSC Cyberport, No 5 Jalan Bukit Meldrum; Johor Bahru; datacentermap.com",,True,v5.1,,,,,,
Infinaxis Cyberjaya 1,Infinaxis,2.9158979,101.655345,Manual Curation (public sources),,,,,physical_facility,1,Malaysia,MYS,Asia,South-Eastern Asia,Infinaxis Cyberjaya 1,True,False,Manual Curation,Infinaxis,Operational,,geocoded,,,Manual Curation (public sources),Multimedia Super Corridor; Tier III target; datacentermap.com snippet,,True,v5.1,,,,,,
PLTPro CX2 (Cyberjaya),PLTPro,2.9173478,101.6620513,Manual Curation (public sources),,,,,physical_facility,1,Malaysia,MYS,Asia,South-Eastern Asia,PLTPro CX2 (Cyberjaya),True,False,Manual Curation,PLTPro,Operational,,geocoded,,,Manual Curation (public sources),"CX2 Computer Exchange, West Wing; Cyberjaya; datacentermap.com snippet",,True,v5.1,,,,,,
Edge Centres EC31 (Shah Alam),Edge Centres,3.089453,101.58209,Manual Curation (public sources),,,,,physical_facility,1,Malaysia,MYS,Asia,South-Eastern Asia,Edge Centres EC31 (Shah Alam),True,False,Manual Curation,Edge Centres,Operational,2022.0,geocoded,,,Manual Curation (public sources),Jalan Pengaturcara U1/51 Temasya Shah Alam; launched 2022; DCD; corrected from v5 audit,,True,v5.1,,,,,,
"OSM unnamed cluster (4 ways) near (1.7027, 103.4122)",,1.70273,103.41225,OpenStreetMap,1432337885.0,,,,physical_facility,1,Malaysia,MYS,Asia,South-Eastern Asia,osm unnamed cluster 4 ways near 1 7027 103 4122,False,False,OSM Only,,,,source_native,sedenak_cluster,"PC36+JW, 82100 Kayu Ara Pasong, Johor, Malaysia",,"osm_ways=1432337885,1432337904,1432337908,1432337909",,True,v5.1,,,,,,
"OSM unnamed cluster (2 ways) near (1.6941, 103.4199)",,1.69411,103.419941,OpenStreetMap,1432337898.0,,,,physical_facility,1,Malaysia,MYS,Asia,South-Eastern Asia,osm unnamed cluster 2 ways near 1 6941 103 4199,False,False,OSM Only,,,,source_native,sedenak_cluster,"MCV9+HJ Kayu Ara Pasong, Johor, Malaysia",,"osm_ways=1432337898,1432337912",,True,v5.1,,,,,,
